City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
567,Malpe,IN,76.3,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
571,Vanimo,PG,76.37,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
572,Guadix,ES,79.47,clear sky,37.2993,-3.1392,Hotel YIT Abentofail
573,Cheney,US,81.77,broken clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
574,Benghazi,LY,81.82,clear sky,32.1167,20.0667,Tibesti Hotel
577,Cortez,US,86.41,haze,37.3489,-108.5859,Sand Canyon National 9 Inn
581,Santa Cruz,BO,89.06,smoke,-17.8,-63.1667,Aviador Hotel Boutique
582,Gat,IL,83.08,clear sky,31.61,34.7642,OlusHome
583,Daman,IN,80.26,overcast clouds,20.4167,72.85,Silver Sands Beach Resort
587,Santa Marta,CO,83.93,broken clouds,11.2408,-74.199,Casa de Isabella
590,Poros,GR,84.61,clear sky,37.4994,23.4536,New Aegli Resort Hotel 4 stars
591,Dryden,CA,77.4,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
601,Iralaya,HN,83.44,broken clouds,15.0,-83.2333,Iglesia morava renovada
605,Rincon,US,86.86,broken clouds,32.296,-81.2354,Days Inn Rincon
606,Gizo,SB,81.32,broken clouds,-8.103,156.8419,Imagination Island
607,Capinopolis,BR,81.77,clear sky,-18.6819,-49.5697,Tropical Hotel
611,Shelburne,CA,78.13,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
613,Vaitape,PF,78.06,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
617,Samarai,PG,77.38,overcast clouds,-10.6167,150.6667,Nuli Sapi
620,Cotonou,BJ,75.97,moderate rain,6.3654,2.4183,Novotel Cotonou Orisha
631,Orocue,CO,88.09,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
636,Afzalpur,IN,78.57,overcast clouds,17.2,76.35,SGK centre Kamat
637,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
639,Itarema,BR,81.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
640,Moerai,PF,75.49,clear sky,-22.4333,-151.3333,Le Manotel
643,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
647,Tazmalt,DZ,86.32,broken clouds,36.3868,4.3989,Hôtel Numédia
661,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
670,Monte Azul,BR,77.83,overcast clouds,-15.155,-42.8747,Hotel Delfino
672,Gilgit,PK,79.66,broken clouds,35.9221,74.3087,Tourist Hamlet Gilgit
673,Goderich,CA,82.2,clear sky,43.7501,-81.7165,Harmony Inn
676,Ocean City,US,83.25,overcast clouds,39.2776,-74.5746,Biscayne Suites
679,Barinas,VE,87.67,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
680,Sorong,ID,77.76,moderate rain,-0.8833,131.25,waigo splash hotel
683,Hartford,US,86.05,broken clouds,41.7668,-72.7662,West Hartford Inn
687,Kavaratti,IN,81.46,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
689,Gallup,US,88.56,clear sky,35.5281,-108.7426,El Capitan Motel
693,Ranot,TH,81.23,broken clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
696,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
699,Rosarito,MX,88.03,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
701,Karaton,ID,78.96,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
704,Macomb,US,89.26,few clouds,40.4592,-90.6718,Hampton Inn Macomb
