City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
266,Lorengau,-2.0226,147.2712,80.08,77,45,6.87,PG,scattered clouds
267,Libona,8.3389,124.7353,70.32,91,100,4.43,PH,overcast clouds
268,Placido De Castro,-10.3353,-67.1856,98.85,20,1,2.98,BR,clear sky
269,Naze,28.3667,129.4833,80.04,89,100,24.63,JP,heavy intensity rain
270,Grindavik,63.8424,-22.4338,57.56,82,75,4.61,IS,broken clouds
271,Jacareacanga,-6.2222,-57.7528,98.8,20,1,3.74,BR,clear sky
272,Edgewater,28.9889,-80.9023,96.26,70,40,13.8,US,scattered clouds
273,Tateyama,34.9833,139.8667,78.82,94,75,14.97,JP,heavy intensity shower rain
274,Belyy Yar,53.6039,91.3903,58.89,94,100,2.24,RU,overcast clouds
275,Asau,46.4333,26.4,63.52,89,1,0.98,RO,clear sky
276,Dudinka,69.4058,86.1778,54.09,58,14,7.18,RU,few clouds
277,Progreso,21.2833,-89.6667,95.11,70,27,18.03,MX,scattered clouds
278,Pisco,-13.7,-76.2167,66.25,68,40,11.5,PE,scattered clouds
279,Cabo San Lucas,22.8909,-109.9124,92.8,66,40,13.8,MX,thunderstorm
280,Itupiranga,-5.1347,-49.3267,97.12,28,32,3.98,BR,scattered clouds
281,Vao,-22.6667,167.4833,67.23,65,100,7.58,NC,overcast clouds
282,Christchurch,-43.5333,172.6333,42.91,91,90,1.99,NZ,light rain
283,Bagdarin,54.4333,113.6,55.22,98,100,2.95,RU,light rain
284,Dongsheng,39.8161,109.9776,74.32,46,100,11.5,CN,light rain
285,San Pedro,14.35,121.0167,82.35,87,99,7.85,PH,overcast clouds
286,Saint-Augustin,51.226,-58.6502,71.28,73,100,11.16,CA,overcast clouds
287,Manokwari,-0.8667,134.0833,77.23,83,99,3.29,ID,light rain
288,Udachnyy,66.4167,112.4,57.42,66,100,3.76,RU,overcast clouds
289,Pondicherry,11.93,79.83,80.26,80,76,13.27,IN,broken clouds
290,Caucaia,-3.7361,-38.6531,84.15,68,20,19.57,BR,few clouds
291,Bubaque,11.2833,-15.8333,80.08,74,13,12.84,GW,few clouds
292,Nemuro,43.3236,145.575,67.98,98,30,10.96,JP,scattered clouds
293,Grand-Lahou,5.1367,-5.0242,75.61,88,58,12.17,CI,broken clouds
294,Gogrial,8.5332,28.1004,72.75,93,100,3.98,SS,moderate rain
295,Ploemeur,47.7333,-3.4333,60.89,85,20,14.97,FR,few clouds
296,Gashua,12.871,11.0482,80.26,72,83,18.81,NG,broken clouds
297,Circleville,39.6006,-82.946,88.84,47,40,8.05,US,scattered clouds
298,Butte,39.6499,-121.5677,92.75,30,90,3.44,US,haze
299,Bataipora,-22.2953,-53.2711,86.05,23,0,5.82,BR,clear sky
300,Kulhudhuffushi,6.6221,73.07,82.96,76,100,15.52,MV,overcast clouds
301,Atbasar,51.8,68.3333,60.69,71,4,6.76,KZ,clear sky
302,Yazykovo,55.2199,56.1353,55.53,73,31,3.96,RU,scattered clouds
303,Caravelas,-17.7125,-39.2481,68.04,84,100,10.94,BR,overcast clouds
304,Kenai,60.5544,-151.2583,68.02,68,1,11.5,US,clear sky
305,Tommot,58.9564,126.2925,55.8,96,22,3.58,RU,few clouds
306,Rudsar,37.1376,50.288,78.78,65,20,2.46,IR,few clouds
307,Vostok,46.4856,135.8833,57.85,99,100,4.61,RU,overcast clouds
308,Divnogorsk,55.9594,92.3619,57.69,83,64,1.5,RU,broken clouds
309,Bowen,-20.0167,148.2333,59.0,89,0,9.78,AU,clear sky
310,Alyangula,-13.8483,136.4192,67.06,64,8,10.09,AU,clear sky
311,Cockburn Town,21.4612,-71.1419,85.96,66,40,16.11,TC,scattered clouds
312,Wasilla,61.5814,-149.4394,62.13,91,90,0.0,US,light rain
